Encryption (second),decryption (second),size (byte),session key generation (second)
0.005712499958463013,4.117799999999988,1895,0.004094499978236854
0.0007033000001683831,1.2217000000018743,1895,0.00015700003132224083
0.0008674999698996544,1.40849999999773,1899,0.00019120005890727043
0.0007761999731883407,1.3931999999986147,1895,0.0001677999971434474
0.0007354000117629766,1.1698000000033062,1895,0.00015279999934136868
0.0009350000182166696,0.9547999999995227,1895,0.0001599999377503991
0.0009311999892815948,1.2288000000007742,1895,0.00018639990594238043
0.0011317000025883317,1.3033999999970547,1895,0.000206099939532578
0.0007103000534698367,1.2858999999989464,1899,0.00015239999629557133
0.0006929000373929739,1.2236999999986438,1895,0.0001471999567002058
0.0011294999858364463,1.037000000000262,1895,0.00019260006956756115
0.0007507000118494034,1.2923000000009779,1895,0.00015460001304745674
0.000847900053486228,1.0882999999994354,1895,0.0001716000260785222
0.0011270999675616622,0.9762999999984459,1895,0.00021789991296827793
0.0007857999298721552,1.5934999999990396,1895,0.00015480001457035542
0.0008549999911338091,1.2749999999978172,1895,0.0001569000305607915
0.0007667000172659755,1.041399999998248,1895,0.00014999997802078724
0.0011334000155329704,1.2718000000022585,1895,0.0002104000886902213
0.0008545999880880117,1.2785000000003492,1895,0.00017580005805939436
0.0007608999731019139,1.059900000000198,1895,0.00014770007692277431
0.0007434999570250511,1.0465000000003783,1891,0.00016820000018924475
0.0011409000726416707,1.1841000000022177,1895,0.00022230006288737059
0.0008674999698996544,1.2646000000022468,1895,0.00018440000712871552
0.0008265000069513917,0.9763999999995576,1895,0.00015129998791962862
0.001290000043809414,1.0564999999987776,1895,0.0002723000943660736
0.0007241999264806509,1.2199000000000524,1899,0.00016649998724460602
0.0008548999903723598,1.1555000000007567,1895,0.000161500065587461
0.001032099942676723,0.8447999999989406,1899,0.00032469991128891706
0.0007564999395981431,1.2410999999992782,1899,0.00015390000771731138
0.000929799978621304,0.996499999997468,1895,0.00015680002979934216
