Encryption (second),decryption (second),size (byte),session key generation (second)
0.000775399967096746,1.9068999999981315,2179,3.6400044336915016e-05
0.0008819999638944864,2.085399999999936,2179,3.530003596097231e-05
0.0007960000075399876,2.3840999999993073,2179,2.5000073947012424e-05
0.0013098000781610608,2.839400000000751,2179,4.6200002543628216e-05
0.0009218000341206789,2.0657000000028347,2179,2.6999972760677338e-05
0.00125919992569834,1.962100000000646,2183,4.1199964471161366e-05
0.0013936999021098018,2.3246999999973923,2179,2.680008765310049e-05
0.0007333999965339899,2.4500000000007276,2179,2.180004958063364e-05
0.0008533999789506197,2.63300000000163,2179,2.759997732937336e-05
0.000659800018183887,2.514499999997497,2183,2.0400038920342922e-05
0.0008989999769255519,2.4178000000028987,2179,2.589996438473463e-05
0.0007513000164180994,2.23949999999968,2179,2.359994687139988e-05
0.0008367999689653516,2.6035999999985506,2179,2.4000066332519054e-05
0.0007684000302106142,2.3119000000006054,2179,2.320006024092436e-05
0.0008072000928223133,2.162400000001071,2179,3.290001768618822e-05
0.0009336000075563788,2.161599999999453,2179,2.459995448589325e-05
0.0009002999868243933,1.9818000000013853,2179,2.9499991796910763e-05
0.0008781000506132841,2.1481999999996333,2179,2.4000066332519054e-05
0.0009355999063700438,2.1388000000006286,2179,2.3700064048171043e-05
0.000793200102634728,2.4602000000013504,2183,2.2300053387880325e-05
0.0007785999914631248,2.4915000000000873,2183,2.459995448589325e-05
0.0013170999009162188,2.4945000000006985,2179,2.6699970476329327e-05
0.0007955000037327409,2.488499999999476,2179,2.1600048057734966e-05
0.0008504999568685889,2.799200000001292,2179,2.3600063286721706e-05
0.0008224999764934182,2.1990999999979977,2179,2.9699993319809437e-05
0.0009420999558642507,1.9269999999996799,2179,5.580007564276457e-05
0.0010795999551191926,2.612600000000384,2179,3.070000093430281e-05
0.0009676999179646373,2.1599999999998545,2179,3.100000321865082e-05
0.0007980999071151018,2.0403000000005704,2179,2.320006024092436e-05
0.0006485000485554338,2.8043999999972584,2179,2.0999927073717117e-05
