Encryption (second),decryption (second),size (byte),session key generation (second)
0.011121800052933395,1.1506000002846122,1895,0.006348300026729703
0.005056399968452752,1.037499999627471,1895,0.00015510001685470343
0.005256599979475141,0.9858999997377396,1895,0.00015750003512948751
0.005097700050100684,1.2272000005468726,1895,0.0001428000396117568
0.005123000009916723,0.9741999991238117,1895,0.0001498999772593379
0.005275700008496642,0.8591000000014901,1895,0.00014269992243498564
0.005300499964505434,0.877899999730289,1899,0.0002101999707520008
0.0050267999758943915,0.9588999999687076,1895,0.00014699995517730713
0.0050760000012815,0.8529000002890825,1891,0.00015480001457035542
0.005178399966098368,0.9994999999180436,1899,0.00014420005027204752
0.0051478000823408365,1.0651000002399087,1895,0.00013639999087899923
0.005126400035806,1.3645999999716878,1895,0.00016009993851184845
0.005005899933166802,0.9493000004440546,1891,0.00014570006169378757
0.004923500004224479,0.8870999999344349,1899,0.00014500005636364222
0.0052399999694898725,0.9397999998182058,1895,0.00018039997667074203
0.005332399974577129,0.9157999996095896,1895,0.00017179991118609905
0.0051169999642297626,0.9224000005051494,1895,0.0001517999917268753
0.005018600029870868,1.211600000038743,1899,0.00014600006397813559
0.005666599958203733,1.387099999934435,1895,0.00018400000408291817
0.005009000073187053,0.9802000001072884,1895,0.00014659995213150978
0.005043799988925457,0.959799999371171,1899,0.00014100002590566874
0.005059200106188655,1.3745999997481704,1899,0.0001425000373274088
0.004979200079105794,0.8921999996528029,1895,0.00013810000382363796
0.005223299958743155,0.978099999949336,1899,0.0001439000479876995
0.005186199909076095,1.3168000001460314,1895,0.00020990008488297462
0.0051466000732034445,1.3379000006243587,1895,0.00015780003741383553
0.00509349990170449,1.1126000005751848,1895,0.00014620006550103426
0.005062699900008738,0.9111000001430511,1895,0.00014279992319643497
0.005382200004532933,1.0142000000923872,1891,0.0001444000517949462
0.0050805999198928475,1.1771999998018146,1895,0.0001503999810665846
