Encryption (second),decryption (second),size (byte),session key generation (second)
0.0007738000131212175,2.7661999999545515,2179,3.3599964808672667e-05
0.0008670000243000686,2.3386000000173226,2179,3.0800001695752144e-05
0.0006963999476283789,2.272099999943748,2179,2.640002639964223e-05
0.0006974000134505332,2.0328999999910593,2183,2.4200009647756815e-05
0.0005885999999009073,1.9328000000678003,2179,2.0900042727589607e-05
0.0006599999614991248,2.581499999971129,2183,2.3500004317611456e-05
0.0006275000050663948,2.4083999999566004,2179,2.5500019546598196e-05
0.0006563999922946095,1.9165000000502914,2179,2.500001573935151e-05
0.000901099992915988,2.218100000056438,2179,3.619998460635543e-05
0.0006898000137880445,2.72960000007879,2179,2.3500004317611456e-05
0.0006773999775759876,2.419099999940954,2183,2.4200009647756815e-05
0.0007231999770738184,2.2507999999215826,2179,3.060000017285347e-05
0.0008233999833464622,2.15300000004936,2179,3.2699957955628633e-05
0.0010711000068113208,2.4356999999145046,2179,4.4599990360438824e-05
0.0006770000327378511,2.179699999978766,2179,2.2599997464567423e-05
0.0012410000199452043,2.1445999999996275,2183,4.1199964471161366e-05
0.000665400002617389,3.3483000000705943,2179,2.4799956008791924e-05
0.0007737999549135566,2.27620000008028,2179,2.3600005079060793e-05
0.0007789999945089221,2.642900000093505,2179,3.2100011594593525e-05
0.0006916999700479209,2.266499999910593,2179,2.3300002794712782e-05
0.0009532999829389155,2.002199999988079,2183,3.090000245720148e-05
0.0008363999659195542,2.3765000000130385,2179,3.779999678954482e-05
0.0007802000036463141,1.9192000000039116,2179,2.6500027161091566e-05
0.0008933999924920499,2.1554000000469387,2179,3.7999998312443495e-05
0.0006627999828197062,2.4059000000124797,2183,2.8600043151527643e-05
0.0006867000483907759,2.327199999941513,2183,2.300000051036477e-05
0.0006790999905206263,1.897800000035204,2179,2.7999980375170708e-05
0.0008410000009462237,1.8804999999701977,2179,4.080001963302493e-05
0.0006817000103183091,1.8808999999891967,2179,2.529995981603861e-05
0.0010868999524973333,1.952999999979511,2179,3.0099996365606785e-05
